"paper_id","coder","paper_title","operationalization category","operationalization value","text evidence","notes"
1,"Amelia","An introduction to docker for reproducible research","Classification","not specified",,
1,"Amelia","An introduction to docker for reproducible research","Scope: unit","not specified",,
1,"Amelia","An introduction to docker for reproducible research","Scope: coverage","not specified",,
2,"Amelia","Towards reproducibility in scientific workflows: an infrastructure-based approach","Classification","not specified",,
2,"Amelia","Towards reproducibility in scientific workflows: an infrastructure-based approach","Scope: unit","not specified",,
2,"Amelia","Towards reproducibility in scientific workflows: an infrastructure-based approach","Scope: coverage","not specified",,
3,"Amelia","Reproducing statistical results","Classification","not specified",,
3,"Amelia","Reproducing statistical results","Scope: unit","not specified",,
3,"Amelia","Reproducing statistical results","Scope: coverage","not specified",,
4,"Amelia","Storing reproducible results from computational experiments using scientific python packages","Classification","not specified",,
4,"Amelia","Storing reproducible results from computational experiments using scientific python packages","Scope: unit","not specified",,
4,"Amelia","Storing reproducible results from computational experiments using scientific python packages","Scope: coverage","not specified",,
5,"Amelia","ReproZip: computational reproducibility with ease","Classification","not specified",,
5,"Amelia","ReproZip: computational reproducibility with ease","Scope: unit","not specified",,
5,"Amelia","ReproZip: computational reproducibility with ease","Scope: coverage","not specified",,
6,"Amelia","A manifesto for data sharing in social media research","Classification","not specified",,
6,"Amelia","A manifesto for data sharing in social media research","Scope: unit","not specified",,
6,"Amelia","A manifesto for data sharing in social media research","Scope: coverage","not specified",,
7,"Amelia","Tools and techniques for computational reproducibility","Classification","not specified",,
7,"Amelia","Tools and techniques for computational reproducibility","Scope: unit","not specified",,
7,"Amelia","Tools and techniques for computational reproducibility","Scope: coverage","not specified",,
8,"Amelia","How transparency and reproducibility can increase credibility in policy analysis: a case study of the minimum wage policy estimate","Classification","ordinal","""Each standard is scored on a four level scale, from the lowest score at level 0 to the highest score at level 3."" (p. 38)",
8,"Amelia","How transparency and reproducibility can increase credibility in policy analysis: a case study of the minimum wage policy estimate","Scope: unit","paper-level","Table 4.2.1 scores ""Original"" CBO report vs. ""DD"" as single entities per standard (pp. 50–60)",
8,"Amelia","How transparency and reproducibility can increase credibility in policy analysis: a case study of the minimum wage policy estimate","Scope: coverage","not specified",,
9,"Amelia","Using ReproZip for reproducibility and library services","Classification","not specified",,
9,"Amelia","Using ReproZip for reproducibility and library services","Scope: unit","not specified",,
9,"Amelia","Using ReproZip for reproducibility and library services","Scope: coverage","not specified",,
10,"Amelia","Sustainable computational science: the ReScience initiative","Classification","not specified",,
10,"Amelia","Sustainable computational science: the ReScience initiative","Scope: unit","not specified",,
10,"Amelia","Sustainable computational science: the ReScience initiative","Scope: coverage","not specified",,
11,"Amelia","Sciunits: reusable research objects","Classification","not specified",,
11,"Amelia","Sciunits: reusable research objects","Scope: unit","not specified",,
11,"Amelia","Sciunits: reusable research objects","Scope: coverage","not specified",,
12,"Amelia","Reproducibility: a primer on semantics and implications for research","Classification","not specified",,
12,"Amelia","Reproducibility: a primer on semantics and implications for research","Scope: unit","not specified",,
12,"Amelia","Reproducibility: a primer on semantics and implications for research","Scope: coverage","not specified",,
13,"Amelia","Reproducibility does not imply reproduction","Classification","not specified",,
13,"Amelia","Reproducibility does not imply reproduction","Scope: unit","not specified",,
13,"Amelia","Reproducibility does not imply reproduction","Scope: coverage","not specified",,
14,"Amelia","An empirical analysis of journal policy effectiveness for computational reproducibility","Classification","ordinal","1) Impossible to reproduce (missing essential code, data, or methodology); 2) Nearly impossible to reproduce (specialized hardware, intense computation requirements, sensitive data, human study, or other unavoidable reasons); 3) Difficult to reproduce because of unavoidable inherent complexity (e.g., requiring 300 million Markov chain Monte Carlo steps on each dataset, or needing months to do runs); 4) Reproducible with substantial tedious effort (e.g., individual download of a large number of datasets, hand coding of data into a new format, i.e., from an image, many archiving steps required); 5) Reproducible with substantial intellectual effort (e.g., methods well defined but required some knowledge of jargon or understanding of the field; or down the rabbit hole references to past articles required to reproduce; etc.); 6) Could reproduce with fairly substantial skill and knowledge (e.g., required GPU programing abilities to run code that wasn’t given; translating complex models into MATLAB code; pseudo code with functions not detailed described in text into code; missing scripts); 6) Reproducible after tweaking (e.g., missing parameters required fiddling to find, missing modified code lines, missing arguments required for differing architecture; missing minor method step); 7) Minor difficulty in reproducing (e.g., installing a specialized library, converting to a different computational system); 8) Straightforward to reproduce with minimal effort.",
14,"Amelia","An empirical analysis of journal policy effectiveness for computational reproducibility","Scope: unit","paper-level",,
14,"Amelia","An empirical analysis of journal policy effectiveness for computational reproducibility","Scope: coverage","all claims",,
15,"Amelia","Coding be eR: assessing and improving the reproducibility of R-based research with containR","Classification","binary","""After removing the execution results for datasets which did not finish running within allotted hour, we found the overall success rate of the researchers’ R scripts, which, at 14.4%, was extraordinarily low (see Table 3.1.1)"" (p. 15-16)",
15,"Amelia","Coding be eR: assessing and improving the reproducibility of R-based research with containR","Scope: unit","not specified",,
15,"Amelia","Coding be eR: assessing and improving the reproducibility of R-based research with containR","Scope: coverage","not specified",,
16,"Amelia","ReproServer: making reproducibility easier and less intensive","Classification","not specified",,
16,"Amelia","ReproServer: making reproducibility easier and less intensive","Scope: unit","not specified",,
16,"Amelia","ReproServer: making reproducibility easier and less intensive","Scope: coverage","not specified",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Classification","not specified",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Scope: unit","not specified",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Scope: coverage","not specified",,
18,"Amelia","Reproducibility confidentiality data access","Classification","not specified",,
18,"Amelia","Reproducibility confidentiality data access","Scope: unit","not specified",,
18,"Amelia","Reproducibility confidentiality data access","Scope: coverage","not specified",,
19,"Amelia","The ReproRubric: evaluation criteria for the reproducibility of computational analyses","Classification","ordinal","Six discrete ordered Tiers: 0-Traditional, I-Reviewable, II-Confirmable, III-Computable, IV-Preservable, V-Automatically Verifiable (Fig. 2, p.3)",
