"paper_id","coder","paper_title","operationalization category","operationalization value","text evidence","notes"
7,"Amelia","Tools and techniques for computational reproducibility","Classification","not specified",,
7,"Amelia","Tools and techniques for computational reproducibility","Scope: unit","not specified",,
7,"Amelia","Tools and techniques for computational reproducibility","Scope: coverage","not specified",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Classification","not specified",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Scope: unit","not specified",,
17,"Amelia","Transparency, reproducibility, and the credibility of economics research","Scope: coverage","not specified",,
40,"Amelia","The role of containers in reproducibility","Classification","not specified",,
40,"Amelia","The role of containers in reproducibility","Scope: unit","not specified",,
40,"Amelia","The role of containers in reproducibility","Scope: coverage","not specified",,
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Classification","ordinal","Table 1 uses four discrete categories (No errors / Resolvable errors / Errors requiring further information / Data-prep scripts not archived), p. 464, though the prose also summarizes it binarily (""13 could be reproduced... remaining seven"")",
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Scope: unit","claim-level","""For each study... attempted to run each program file and recorded any errors"" (p. 463)","It is labelled as ""study-level"" so I coded ""claim-level"". It could be also ""paper-level"" if one paper contains one study."
44,"Amelia","Active maintenance: a proposal for the long-term computational reproducibility of scientific results","Scope: coverage","not specified",,
48,"Amelia","Challenges of curating for reproducible and FAIR research output","Classification","not specified",,
48,"Amelia","Challenges of curating for reproducible and FAIR research output","Scope: unit","not specified",,
48,"Amelia","Challenges of curating for reproducible and FAIR research output","Scope: coverage","not specified",,
54,"Amelia","WORCS: a workflow for open reproducible code in science","Classification","binary","Either or not the replication package get a badge",
54,"Amelia","WORCS: a workflow for open reproducible code in science","Scope: unit","not specified",,
54,"Amelia","WORCS: a workflow for open reproducible code in science","Scope: coverage","not specified",,
69,"Amelia","The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other","Classification","not specified",,
69,"Amelia","The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other","Scope: unit","not specified",,
69,"Amelia","The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other","Scope: coverage","not specified",,
71,"Amelia","Teaching for Large-Scale Reproducibility Verification","Classification","not specified",,
71,"Amelia","Teaching for Large-Scale Reproducibility Verification","Scope: unit","not specified",,
71,"Amelia","Teaching for Large-Scale Reproducibility Verification","Scope: coverage","not specified",,
99,"Amelia","Introducing reproducible research standards at the world bank","Classification","not specified",,
99,"Amelia","Introducing reproducible research standards at the world bank","Scope: unit","not specified",,
99,"Amelia","Introducing reproducible research standards at the world bank","Scope: coverage","not specified",,
101,"Amelia","Replicability of simulation studies for the investigation of statistical methods: the RepliSims project","Classification","not specified",,
101,"Amelia","Replicability of simulation studies for the investigation of statistical methods: the RepliSims project","Scope: unit","not specified",,
