"variable","question","field_type"
"timestamp","Timestamp","identifier"
"paper_title","Paper title","identifier"
"coder","Coder name","identifier"
"B1","B1. Is the paper focused on a specific scientific discipline?","single_select"
"B1A","B1a. Which discipline(s) does the paper focus on?","multi_select"
"C1","C1. What is the primary type of contribution this paper makes?","single_select"
"C2","C2. Is there a clearly applicable secondary type of contribution?","single_select"
"D1","D1. Does the paper provide a definition of reproducibility?","single_select"
"D1A","D1a. If yes, please copy and paste the exact definition text from the paper.","free_text"
"D2","D2. Does the paper discuss how the meaning or practice of reproducibility varies across different contexts?","single_select"
"E1","E1. Does the paper describe or recommend a specific workflow, guideline, or tool for checking reproducibility?","single_select"
"E1A","E1a. How explicitly is the workflow or guideline described?","single_select"
"E1B","E1b. What computational environment does the paper focus on?","multi_select"
"E1C","E1c. What programming language(s) does the paper focus on?","multi_select"
"E1D","E1d. What data type(s) does the paper focus on?","multi_select"
"E1E","E1e. Does the paper suggest or describe automated checking of reproducibility?","single_select"
"F1","F1. Does the paper describe or recommend a scoring or badging system for evaluating reproducibility?","single_select"
"F2","F2. Who does the paper say should perform the reproducibility check?","multi_select"
"F3","F3. When does the paper suggest reproducibility should be verified?","multi_select"
"notes","Please put any additional information about the paper that you deem necessary.","free_text"
"E1F","E1f. Does the described automation involve large language models (LLMs)?","single_select"
"D2A","D2a. Which types of contextual variation does the paper discuss?","multi_select"
"paper_id","Derived: `No.` in 10_final_set.xlsx, matched on paper title","derived"
"doi","Derived: DOI from 10_final_set.xlsx (the coder-entered DOI/Link is only cross-checked)","derived"
"submitted","Derived (IRR file only): FALSE where the coder never submitted this paper","derived"
