"paper_id","coder","paper_title","doi","timestamp","B1","B1A","C1","C2","D1","D1A","D2","D2A","E1","E1A","E1B","E1C","E1D","E1E","E1F","F1","F2","F3","notes"
1,"Amelia","An introduction to docker for reproducible research","10.1145/2723872.2723882","2026/06/18 11:12:38","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Package/dependency management","Not described","Not described","Full automation. The entire proposed workflow is automated with no required manual steps.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
2,"Amelia","Towards reproducibility in scientific workflows: an infrastructure-based approach","10.1155/2015/243180","2026/07/22 11:13:26","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"Yes","Reproducibility:  ""...implies that even when the goal of the experiment is the same, at least part of the experiment has been modified to obtain a new result or has been adapted to fit a new scenario. In this work, we address the reproducibility of the execution environment for a scientific workflow, as we do not aim to necessarily obtain an exact incarnation of the original one, but rather an environment that is able to support the required capabilities exposed by the former environment."" (p.1)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Package/dependency management","java","Text/NLP","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
3,"Amelia","Reproducing statistical results","10.1146/annurev-statistics-010814-020127","2026/07/23 18:54:59","No. Paper is general with no named target discipline.",,"Guidelines/policy paper",,"Yes","Computational reproducibility: ""..refers to changes in scientific practice and reporting standards to accommodate the use of computational technology occurring primarily over the past two decades, in particular whether the same results can be obtained from the data and code used in the original study"" (p. 2)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Data or material license","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Version control","Not described","Proprietary/confidential data","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Authors (self-check), Third-party/independent reproducers/replicators","Before submission, proactively, After publication",
4,"Amelia","Storing reproducible results from computational experiments using scientific python packages","10.25080/majora-629e541a-006","2026/07/20 20:45:21","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"Yes","Computational experiment reproducible: ""..describing the experiment in such detail that it is possible for others to independently repeat it"" (p. 45)

Reproducibility: ""...of a study is the ability of others to repeat the study and obtain the same results using a general description of the original work"" (p. 46)","No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Package/dependency management","Python","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Not described","Not described",
5,"Amelia","ReproZip: computational reproducibility with ease","10.1145/2882903.2899401","2026/07/13 13:55:22","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)","Not described","Not described","Full automation. The entire proposed workflow is automated with no required manual steps.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
6,"Amelia","A manifesto for data sharing in social media research","10.1145/2908131.2908172","2026/07/24 08:15:56","No. Paper is general with no named target discipline.",,"Guidelines/policy paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Not described","Not described","Digital trace data","Not described","Not applicable. E1e = Manual only or Not described.","No","Not described","Not described",
7,"Amelia","Tools and techniques for computational reproducibility","10.1186/s13742-016-0135-4","2026/07/21 20:24:42","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"Yes","Reproducibility: ""..If the description is comprehensive enough that they and others can repeat the procedures and obtain semantically consistent results"" (p. 1)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Scientific discipline, Data type, Data or material license","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","R, Python","Not described","Partial automation. Some steps are automated and some require human judgment.","No. Automation is present but does not involve LLMs.","No","Not described","Not described",
8,"Amelia","How transparency and reproducibility can increase credibility in policy analysis: a case study of the minimum wage policy estimate","10.7249/rgsd394","2026/07/14 12:05:00","Yes. Paper explicitly targets one or more named disciplines","Economics, Political Science","Replication/reproduction attempt",,"Yes","Reproducibility tests if it is possible for a third party to obtain the same results using the same data, methods and code (p. 9)","No. The paper treats reproducibility as context-independent or does not address variation.",,"No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.",,,,,,,"No","Third-party/independent reproducers/replicators","Not described",
9,"Amelia","Using ReproZip for reproducibility and library services","10.29173/iq18","2026/07/23 18:31:42","No. Paper is general with no named target discipline.",,"Technical tool/workflow paper",,"No",,"No. The paper treats reproducibility as context-independent or does not address variation.",,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Step-by-step (explicit)","Literate programming/dynamic documents, Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)","Not described","Not described","Not described","Not applicable. E1e = Manual only or Not described.","No","Authors (self-check), Peer reviewers, Third-party/independent reproducers/replicators","Before submission, proactively, After publication",
10,"Amelia","Sustainable computational science: the ReScience initiative","10.7717/peerj-cs.142","2026/07/21 22:16:35","No. Paper is general with no named target discipline.",,"Guidelines/policy paper","Technical tool/workflow paper","Yes","Reproducibility: ""..the result of a computation means running the same software on the same input data and obtaining the same results. The goal of a reproduction attempt is to verify that the computational protocol leading to the results has been recorded correctly."" (p.4) 

Reproducibility: ""..strictly speaking, reproducibility is defined in the context of identical computational environments."" (p.4)","Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.","Programming language or software, Software longevity/decay","Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.","Narrative (implicit)","Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.), Version control, Package/dependency management","Not described","Not described","Manual only. The workflow is entirely manual.","Not applicable. E1e = Manual only or Not described.","No","Peer reviewers, Third-party/independent reproducers/replicators","After publication",
