,seed_openalex_id,seed_title,openalex_id,title,publication_year,doi,type,is_oa,cited_by_count,source_name,abstract,search_strand,screening_decision,screening_notes,asreview_label,asreview_time,asreview_note,asreview_user_name,asreview_user_email
1428,W2734665458,Sustainable computational science: the ReScience initiative,https://openalex.org/W3089078847,HOW TO MAKE A PIE: REPRODUCIBLE RESEARCH FOR EMPIRICAL ECONOMICS AND ECONOMETRICS,2020,https://doi.org/10.1111/joes.12389,article,False,11,Journal of Economic Surveys,"Abstract Empirical economics and econometrics (EEE) research now relies primarily on the application of code to data sets. Handling the workflow that links data sets, programs, results, and finally manuscript(s) is essential if one wishes to reproduce results. Herein, we highlight the importance of “reproducible research” in EEE and propose three simple principles to follow: organize your work, code for others, and automate as much as you can. The first principle, “organize your work”, deals with the overall organization of files and the documentation of a research workflow. “Code for others” emphasizes that we should take care in how we write code that has to be read by others or later by our future self. Finally, “automate as much as you can” is a proposal to avoid any manual treatment and to automate most, if not all, of the steps used in a research process to reduce errors and increase reproducibility. As software is not always the problem and will never be the solution, we illustrate these principles with good habits and tools, with a particular focus on their implementation in most popular software and languages in applied economics.",forward_snowballing,,,1,2026-03-30 19:48:13,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
1291,W1966517122,Towards reproducibility in scientific workflows: an infrastructure-based approach,https://openalex.org/W2475824822,Classification of scientific workflows based on reproducibility analysis,2016,https://doi.org/10.1109/mipro.2016.7522161,article,False,3,,"In the scientist's community one of the most vital challenges is the reproducibility of a workflow execution. The necessary parameters of the execution (we call them descriptors) can be external which depend on for example the computing infrastructure (grids, clusters and clouds), on third party resources or it can be internal which belong to the code of the workflow such as variables. Consequently, during the process of re-execution these parameters may change or become unavailable and finally they can prevent to reproduce the workflow. However in most cases the lack of the original parameters can be compensated by replacing, evaluating or simulating the value of the descriptors with some extra cost in order to make it reproducible. Our goal in this paper is to classify the scientific workflows based on the method and cost how they can become reproducible.",forward_snowballing,,,1,2026-03-30 19:48:44,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
1292,W1966517122,Towards reproducibility in scientific workflows: an infrastructure-based approach,https://openalex.org/W2501291508,Evaluating the reproducibility cost of the scientific workflows,2016,https://doi.org/10.1109/saci.2016.7507367,article,False,2,,"In almost all research field scientific studies can be implemented by in silico experiments. They are modelled by scientific workflows which describes the data or control flow between the consecutive computational tasks. Since these experiments are data and compute intensive they need parallel and distributed infrastructures to be enacted (grids, clusters, clouds and supercomputers). The complexity of the infrastructures and the continuously changing environment faces us a big challenge in reproducibility, which is often needed for results sharing or for judging scientific claims in the scientists' community. The necessary parameters of reproducible workflows can be originated from different sources (infrastructural, third party, or related to the binaries), which may change or become unavailable during the process of re-execution. However in most cases the lack of the original parameters can be compensated by replacing, evaluating or simulating the value of the descriptors with some extra cost in order to make it reproducible. In this paper we give the expected cost of making a workflow reproducible or more precisely to determine the probability of making a workflow reproducible with more than a predefined cost C.",forward_snowballing,,,1,2026-03-30 19:49:08,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
1300,W1966517122,Towards reproducibility in scientific workflows: an infrastructure-based approach,https://openalex.org/W2587021653,Investigation of the descriptors to make the scientific workflows reproducible,2016,https://doi.org/10.1109/cinti.2016.7846391,article,False,0,,"The complexity of the scientific workflows and the continuously changing nature of the environment makes it hard or even prevents to reproduce the workflows or share their results in the scientist's community. The main factors which can influence the reproducibility are the descriptors (resources, system variables, code variables, inputs, parameters etc. required to re-execute the workflow) that are continuously changing in time or become unavailable during the years (typically third party resources). The ultimate goal of my research is to reveal the behavior of the crucial descriptors which can prevent the reproducibility and to find the relationship between the change of the descriptors and the change of the result. Based on the nature of the change, and its relation to the result evaluation can be performed to replace the missing descriptor values with simulated ones. In this way we intend to support the scientist to create a reproducible scientific workflow. In addition, with determining the probability of the reproducibility we can also help the scientists to find the most suitable scientific workflow in a repository which they can reuse and create their own experiment.",forward_snowballing,,,1,2026-03-30 19:49:28,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
471,W3039166951,"Reproducibility, preservation, and access to research with ReproZip and ReproServer",https://openalex.org/W4403447337,Towards a Conversational User Interface for Aiding Researchers with Reproducibility,2024,https://doi.org/10.1109/vl/hcc60511.2024.00052,article,False,1,,"In science, it is very important to be able to recreate the same computing environment to reproduce the same results achieved by previous scientific experiments. However, it is challenging to create a shareable package with the same environment using the same programming languages, frameworks, or data sources due to the diversity of researchers’ knowledge and the variety of computational environments used. In this work, I propose designing and constructing a conversational user interface that allows researchers to upload experiment files and clarify the necessary information via text communication to create a reproducible experiment package. My approach uses an integrated Large Language Model (LLM) that allows the platform to infer, whenever possible, some information (e.g., the programming language used, the main file to be executed, the parameters needed to be inserted when executing) to reduce the amount of information asked to the user. With this work, I intend to use an LLM to guide the researcher through this procedure, thereby reducing the time spent and the number of interactions required to create a reproducible package.",forward_snowballing,,,1,2026-03-30 19:50:11,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
303,W2793993424,An empirical analysis of journal policy effectiveness for computational reproducibility,https://openalex.org/W7128801078,Reproducibility: How Can we Make Sure That Research Studies Can be Trusted?,2026,https://doi.org/10.3389/frym.2026.1582084,article,True,0,Frontiers for Young Minds,"Scientists produce knowledge by building on previous researchers’ findings. This process only works if the research being built upon can be trusted. A major quality that affects how trustworthy research is involves whether it is reproducible. A scientific study is reproducible if it shows the same results when it is repeated, usually by other researchers. Reproducibility is incredibly important for all scientific fields. If a study is reproducible, it is more likely that it does not contain mistakes and that others can trust the findings. Research can be made reproducible by sharing all the information that other researchers need to repeat a study. In this article, we will explain what reproducibility means, why it is important, and some steps that can be taken to increase the reproducibility of scientific research.",forward_snowballing,,,1,2026-03-30 19:50:35,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
522,W1574680346,An introduction to docker for reproducible research,https://openalex.org/W3154754686,Understanding experiments and research practices for reproducibility: an exploratory study,2021,https://doi.org/10.7717/peerj.11140,article,True,57,PeerJ,"Scientific experiments and research practices vary across disciplines. The research practices followed by scientists in each domain play an essential role in the understandability and reproducibility of results. The ""Reproducibility Crisis"", where researchers find difficulty in reproducing published results, is currently faced by several disciplines. To understand the underlying problem in the context of the reproducibility crisis, it is important to first know the different research practices followed in their domain and the factors that hinder reproducibility. We performed an exploratory study by conducting a survey addressed to researchers representing a range of disciplines to understand scientific experiments and research practices for reproducibility. The survey findings identify a reproducibility crisis and a strong need for sharing data, code, methods, steps, and negative and positive results. Insufficient metadata, lack of publicly available data, and incomplete information in study methods are considered to be the main reasons for poor reproducibility. The survey results also address a wide number of research questions on the reproducibility of scientific results. Based on the results of our explorative study and supported by the existing published literature, we offer general recommendations that could help the scientific community to understand, reproduce, and reuse experimental data and results in the research data lifecycle.",forward_snowballing,,,1,2026-03-30 19:50:52,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
890,W1574680346,An introduction to docker for reproducible research,https://openalex.org/W3122350094,The Role of Containers in Reproducibility,2020,https://doi.org/10.1109/canopiehpc51917.2020.00008,article,False,7,,"Reproducibility in computational workloads is a critical factor in scientific and commercial applications but it is often elusive. There are many factors that contribute to this challenge. In this paper, we discuss some of those sources and describe how containers can play a role in addressing this challenge. The role of workflow tools, best practices, and gaps are also presented. The goal of this paper is to provide readers with a basic understanding of the issues and equip them with practices in using containers to improve the reproducibility of their work.",forward_snowballing,,,1,2026-03-30 19:52:33,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
222,W2793993424,An empirical analysis of journal policy effectiveness for computational reproducibility,https://openalex.org/W4401316857,Reproduce to validate: A comprehensive study on the reproducibility of economics research,2024,https://doi.org/10.1111/caje.12728,article,True,4,Canadian Journal of Economics/Revue canadienne d économique,"Abstract Journals have pushed for transparency of research through data availability policies. Such data policies improve availability of data and code, but what is the impact on reproducibility? We present results from a large reproduction exercise for articles published in the American Economic Journal: Applied Economics, which has had a data availability policy since its inception in 2009. Out of 363 published articles, we assessed 274 articles. All articles provided some materials. We excluded 122 articles that required confidential or proprietary data or that required the replicator to otherwise obtain the data (44.5% of assessed articles). We attempted to reproduce 152 articles and were able to fully reproduce the results of 68 (44.7% of attempted reproductions). A further 66 (43.4% of attempted reproductions) were partially reproduced. Many articles required complex code changes even when at least partially reproduced. We collect bibliometric characteristics of authors, but find no evidence for author characteristics as determinants of reproducibility. There does not appear to be a citation bonus for reproducibility. The data availability policy of this journal was effective to ensure availability of materials, but is insufficient to ensure reproduction without additional work by replicators.",forward_snowballing,,,1,2026-03-30 19:55:11,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
1680,W2561942675,"Transparency, reproducibility, and the credibility of economics research",https://openalex.org/W4380052377,Replications in agricultural economics,2023,https://doi.org/10.1002/aepp.13386,article,True,32,Applied Economic Perspectives and Policy,"Abstract Replicability is a cornerstone of all scientific disciplines. While agricultural economists often provide recommendations to stakeholders that inform, among others policymaking, we currently lack replication papers published in leading agricultural economics journals. This increases the risk that published results are not replicable, which potentially can lead to inefficient resource allocation. In this article, we provide a framework for replications in agricultural economics and discuss challenges and opportunities with the objective to foster a replication culture. We provide pathways on how to untap this potential and provide guidance for enabling a stronger emphasis on replications in the field of agricultural economics. We present the first special issue on replications in agricultural economics, which consists of 11 articles that replicate various empirical analyses presented in published articles and advance the analyses that were used in the original work to provide further insights.",forward_snowballing,,,1,2026-03-30 19:55:59,,Amelia Zein,amelia.zein@psikologi.unair.ac.id
