No.,Authors,Year,Title,Source,DOI,URL,Type,Source/Query,OpenAlex ID,Notes
40,"Canon, R. Shane",2020,The role of containers in reproducibility,2020 2nd International Workshop on Containers and New Orchestration Paradigms for Isolated Environments in HPC (CANOPIE-HPC),10.1109/CANOPIEHPC51917.2020.00008,https://ieeexplore.ieee.org/document/9297043/,CONF,Forward snowball ← An introduction to docker for reproducible research,https://openalex.org/W3122350094,Source: forward snowballing (Step 4); Cited by: An introduction to docker for reproducible research
108,"Momeni, Fakhri; Khan, Muhammad Taimoor; Kiesel, Johannes et al.",2025,Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation,ACM REP '25: ACM Conference on Reproducibility and Replicability,10.1145/3736731.3746161,https://dl.acm.org/doi/10.1145/3736731.3746161,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W4415381560,"Source query: Q1 (""computational reproducibility"")"
117,"Saju, Lorraine; Holtdirk, Tobias; Mangroliya, Meetkumar P et al.",2025,Computational reproducibility of R code supplements on OSF,International AAAI Conference on Web and Social Media,10.36190/2025.49,https://doi.org/10.36190/2025.49,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W4416046054,"Source query: Q1 (""computational reproducibility"")"
48,"Peer, Limor; Arguillas, Florio; Honeyman, Tom et al.",2021,Challenges of curating for reproducible and FAIR research output,NA,10.15497/RDA00063,https://zenodo.org/record/5094155#.YO0a8OgzaUk,GEN,"Q1 (""computational reproducibility"")",https://openalex.org/W3214743025,"Source query: Q1 (""computational reproducibility"")"
69,"Mikytuck, Alyssa; Nusser, Sarah; Korkmaz, Gizem",2022,The interdependence of data producers and data users: how researchers’ behaviors can support or hinder each other,MetaArXiv,10.31222/osf.io/yp3ct,https://doi.org/10.31222/osf.io/yp3ct,GEN,"Q1 (""computational reproducibility"")",https://openalex.org/W4306765260,"Source query: Q1 (""computational reproducibility"")"
7,"Piccolo, Stephen R.; Frampton, Michael B.",2016,Tools and techniques for computational reproducibility,GigaScience,10.1186/s13742-016-0135-4,https://academic.oup.com/gigascience/article-lookup/doi/10.1186/s13742-016-0135-4,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W2951092176,"Source query: Q1 (""computational reproducibility"")"
17,"Christensen, Garret; Miguel, Edward",2018,"Transparency, reproducibility, and the credibility of economics research",Journal of Economic Literature,10.1257/jel.20171350,https://pubs.aeaweb.org/doi/10.1257/jel.20171350,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W2561942675,"Source query: Q1 (""computational reproducibility"")"
44,"Peer, Limor; Orr, Lilla V.; Coppock, Alexander",2021,Active maintenance: a proposal for the long-term computational reproducibility of scientific results,PS: Political Science & Politics,10.1017/S1049096521000366,https://www.cambridge.org/core/product/identifier/S1049096521000366/type/journal_article,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W3175388084,"Source query: Q1 (""computational reproducibility"")"
54,"Van Lissa, Caspar J.; Brandmaier, Andreas M.; Brinkman, Loek et al.",2021,WORCS: a workflow for open reproducible code in science,Data Science,10.3233/DS-210031,https://journals.sagepub.com/doi/10.3233/DS-210031,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W3034374347,"Source query: Q1 (""computational reproducibility"")"
71,"Vilhuber, Lars; Son, Hyuk Harry; Welch, Meredith et al.",2022,Teaching for Large-Scale Reproducibility Verification,Journal of Statistics and Data Science Education,10.1080/26939169.2022.2074582,https://doi.org/10.1080/26939169.2022.2074582,JOUR,Backward snowballing,NA,backward snowballed
99,"Jones, Maria",2024,Introducing reproducible research standards at the world bank,Harvard Data Science Review,10.1162/99608f92.21328ce3,https://hdsr.mitpress.mit.edu/pub/jn90uuur,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W4403919440,"Source query: Q1 (""computational reproducibility"")"
101,"Luijken, K.; Lohmann, A.; Alter, U. et al.",2024,Replicability of simulation studies for the investigation of statistical methods: the RepliSims project,Royal Society Open Science,10.1098/rsos.231003,https://royalsocietypublishing.org/doi/10.1098/rsos.231003,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W4390929439,"Source query: Q1 (""computational reproducibility"")"
107,"Bauer, Gerrit; Breznau, Nate; Gereke, Johanna et al.",2025,Teaching constructive replications in the behavioral and social sciences using quantitative data,Teaching of Psychology,10.1177/00986283231219503,https://journals.sagepub.com/doi/10.1177/00986283231219503,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W4390009570,"Source query: Q1 (""computational reproducibility"")"
128,"Breznau, Nate; Rinke, Eike Mark; Wuttke, Alexander et al.",2025,The reliability of replications: a study in computational reproductions,Royal Society Open Science,10.1098/rsos.241038,https://doi.org/10.1098/rsos.241038,JOUR,"Source query: Q1 (""computational reproducibility"")",NA,NA
125,"Denly, Michael; Helms, Benjamin",2025,"A report on ""corruption and Co-optation in autocracy: evidence from Russia""",I4R Discussion Paper Series,NA,NA,RPRT,"Q1 (""computational reproducibility"")",https://openalex.org/W7112551898,"Source query: Q1 (""computational reproducibility"")"
