Record_No,Title,Category_Code,Category_Label,Discipline,Notes
1,What makes computational communication science (ir)reproducible?,B,Empirical Audit / Assessment,COMM,
2,Measuring transparency in the social sciences: political science and IR,C,Survey / Interview Study,POLSCI,Near-duplicate of #14
3,Teaching constructive replications in the behavioral and social sciences using quantitative data,I,Education / Training,SOC,Near-duplicate of #15
4,Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation,A,Guidelines / Checklists / Frameworks,SOC,HIGH RELEVANCE; no abstract
5,Using synthetic data in CSD to promote computational reproducibility and transparency,D,Technical Tool / Workflow,COMM,Near-duplicate of #16
6,How transparency and reproducibility can increase credibility in policy analysis,B,Empirical Audit / Assessment,SOC,
7,Reproducibility in the social sciences,F,Systematic or Narrative Review,SOC,
8,A protocol for structured robustness reproductions and replicability assessments,A,Guidelines / Checklists / Frameworks,GEN,No abstract
9,Reproducibility and transparency versus privacy and confidentiality: reflections from a data editor,G,Policy / Editorial / Institutional,ECON,
10,Reproducibility in Management Science (HTML title variant),B,Empirical Audit / Assessment,ECON,DUPLICATE of #11 #12
11,Reproducibility in management science (variant 1),B,Empirical Audit / Assessment,ECON,DUPLICATE of #10 #12
12,Reproducibility in management science (variant 2),B,Empirical Audit / Assessment,ECON,DUPLICATE of #10 #11
13,From guidelines to practice: evaluating the reproducibility of methods in computational social science,B,Empirical Audit / Assessment,CSS,
14,Trust us: open data and preregistration in political science and IR,C,Survey / Interview Study,POLSCI,Near-duplicate of #2
15,Teaching constructive replications in the social sciences,I,Education / Training,SOC,Near-duplicate of #3
16,"Synthetic data in CSD: promoting an open, reproducible, and cumulative science",D,Technical Tool / Workflow,COMM,Near-duplicate of #5
17,Computational reproducibility in computational social science,A,Guidelines / Checklists / Frameworks,CSS,Tiered reproducibility model
18,Ten meta science insights to deal with the credibility crisis in the social sciences,E,Conceptual / Definitional,SOC,
19,A synthetic dataset primer for the biobehavioural sciences to promote reproducibility,D,Technical Tool / Workflow,BIO,
20,The reliability of replications: a study in computational reproductions,H,Replication / Reproduction Report,SOC,Crowdsourced; 85 teams
21,Data and code availability in political science publications from 1995 to 2022,B,Empirical Audit / Assessment,POLSCI,
