paper_id,n_criteria
1,5
2,2
3,7
4,3
5,4
6,4
7,5
9,4
10,6
11,5
12,6
14,9
15,3
16,2
17,5
18,5
19,8
20,9
23,5
24,3
25,6
26,4
27,2
28,4
29,1
30,6
31,5
32,5
33,2
34,5
35,9
37,4
38,9
39,8
40,2
41,2
42,5
43,4
44,7
45,7
46,8
47,3
48,8
50,1
51,9
52,8
54,9
55,8
56,5
57,3
58,4
59,5
60,4
61,6
62,5
63,4
64,1
65,2
66,8
67,7
69,6
70,8
71,8
72,2
73,5
74,4
75,4
76,5
77,5
78,3
79,5
80,4
81,2
82,3
83,7
84,2
85,6
86,8
87,2
88,8
89,8
90,3
91,8
92,2
93,9
94,2
95,10
97,4
98,5
99,9
100,6
101,3
102,3
103,8
104,9
105,6
106,4
107,7
108,10
109,6
110,4
112,4
113,6
114,2
115,1
116,3
117,8
118,4
119,6
120,7
121,4
122,1
123,2
124,2
125,5
126,5
128,6
130,4
131,13
132,5
133,3
134,5
135,2
136,9
137,3
138,4
139,10
140,3
141,7
142,3
143,8
144,5
8,0
13,0
21,0
22,0
36,0
49,0
53,0
68,0
96,0
111,0
127,0
129,0
145,0
