year,dimension,mentions
2015,Availability,7
2015,Executability,7
2016,Availability,11
2016,Executability,5
2017,Availability,9
2017,Executability,9
2017,Consistency,3
2018,Availability,13
2018,Executability,7
2018,Consistency,4
2019,Availability,17
2019,Executability,15
2019,Consistency,5
2020,Availability,39
2020,Executability,19
2020,Consistency,4
2021,Availability,62
2021,Executability,25
2021,Consistency,7
2022,Availability,39
2022,Executability,23
2022,Consistency,10
2023,Availability,34
2023,Executability,14
2023,Consistency,3
2024,Availability,63
2024,Executability,32
2024,Consistency,28
2025,Availability,52
2025,Executability,40
2025,Consistency,18
2026,Availability,25
2026,Executability,15
2026,Consistency,14
