variable,label,option,n_papers,n_answered,pct_of_answered
B1A,Disciplines targeted,Economics,29,66,43.9
B1A,Disciplines targeted,General social science,20,66,30.3
B1A,Disciplines targeted,Political Science,16,66,24.2
B1A,Disciplines targeted,Communication science,7,66,10.6
B1A,Disciplines targeted,Sociology,5,66,7.6
B1A,Disciplines targeted,Finance,3,66,4.5
B1A,Disciplines targeted,Management/Business,3,66,4.5
B1A,Disciplines targeted,Accounting,1,66,1.5
B1A,Disciplines targeted,Computational Humanities,1,66,1.5
B1A,Disciplines targeted,International relation,1,66,1.5
D2A,Types of contextual variation,Scientific discipline,29,65,44.6
D2A,Types of contextual variation,Data or material license,23,65,35.4
D2A,Types of contextual variation,Data type,18,65,27.7
D2A,Types of contextual variation,Programming language or software,18,65,27.7
D2A,Types of contextual variation,Study design,15,65,23.1
D2A,Types of contextual variation,Computational environment,2,65,3.1
D2A,Types of contextual variation,Journals' policies,2,65,3.1
D2A,Types of contextual variation,Software longevity/time,2,65,3.1
D2A,Types of contextual variation,Computational and infrastructure complexity,1,65,1.5
D2A,Types of contextual variation,Computational vs. non-computational steps in a study,1,65,1.5
D2A,Types of contextual variation,Data quality,1,65,1.5
D2A,Types of contextual variation,Scientific claims,1,65,1.5
E1B,Computational environment,"Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)",48,99,48.5
E1B,Computational environment,Package/dependency management,33,99,33.3
E1B,Computational environment,Literate programming/dynamic documents,30,99,30.3
E1B,Computational environment,Version control,29,99,29.3
E1B,Computational environment,Not described,28,99,28.3
E1C,Programming languages,R,44,99,44.4
E1C,Programming languages,Not described,40,99,40.4
E1C,Programming languages,Python,27,99,27.3
E1C,Programming languages,Stata,15,99,15.2
E1C,Programming languages,Matlab,7,99,7.1
E1C,Programming languages,Julia,6,99,6.1
E1C,Programming languages,SAS,4,99,4
E1C,Programming languages,Java,2,99,2
E1C,Programming languages,SPSS,2,99,2
E1C,Programming languages,C/C++,1,99,1
E1C,Programming languages,Excel,1,99,1
E1C,Programming languages,Fortran,1,99,1
E1C,Programming languages,GAMS,1,99,1
E1C,Programming languages,Mathematica,1,99,1
E1C,Programming languages,NetLogo,1,99,1
E1D,Data types,Not described,65,99,65.7
E1D,Data types,Proprietary/confidential data,24,99,24.2
E1D,Data types,Survey/experimental,9,99,9.1
E1D,Data types,Administrative/register data,7,99,7.1
E1D,Data types,Digital trace data,5,99,5.1
E1D,Data types,Text/NLP,4,99,4
E1D,Data types,Audio data,1,99,1
E1D,Data types,Trading data,1,99,1
F2,Who should perform the check,Third-party/independent reproducers/replicators,72,145,49.7
F2,Who should perform the check,Not described,47,145,32.4
F2,Who should perform the check,Authors (self-check),40,145,27.6
F2,Who should perform the check,Data editors,31,145,21.4
F2,Who should perform the check,Peer reviewers,20,145,13.8
F2,Who should perform the check,AI Agents,5,145,3.4
F2,Who should perform the check,Librarians,3,145,2.1
F3,When the check should happen,Not described,78,145,53.8
F3,When the check should happen,After publication,44,145,30.3
F3,When the check should happen,"After acceptance, before publication",25,145,17.2
F3,When the check should happen,"Before submission, proactively",20,145,13.8
F3,When the check should happen,Parallel to peer review process,3,145,2.1
F3,When the check should happen,All stages of research lifecycle,1,145,0.7
