variable,question,type,n,response,count,pct
B1,Discipline-specific focus,Single-select,145,No. Paper is general with no named target discipline.,79,54.5
B1,Discipline-specific focus,Single-select,145,Yes. Paper explicitly targets one or more named disciplines,66,45.5
B1A,Disciplines targeted,Multi-select,66,Economics,29,43.9
B1A,Disciplines targeted,Multi-select,66,General social science,20,30.3
B1A,Disciplines targeted,Multi-select,66,Political Science,16,24.2
B1A,Disciplines targeted,Multi-select,66,Communication science,7,10.6
B1A,Disciplines targeted,Multi-select,66,Sociology,5,7.6
B1A,Disciplines targeted,Multi-select,66,Finance,3,4.5
B1A,Disciplines targeted,Multi-select,66,Management/Business,3,4.5
B1A,Disciplines targeted,Multi-select,66,Accounting,1,1.5
B1A,Disciplines targeted,Multi-select,66,Computational Humanities,1,1.5
B1A,Disciplines targeted,Multi-select,66,International relation,1,1.5
C1,Primary contribution type,Single-select,145,Technical tool/workflow paper,52,35.9
C1,Primary contribution type,Single-select,145,Guidelines/policy paper,27,18.6
C1,Primary contribution type,Single-select,145,Empirical audit/assessment,25,17.2
C1,Primary contribution type,Single-select,145,Narrative review or commentary,11,7.6
C1,Primary contribution type,Single-select,145,Replication/reproduction attempt,10,6.9
C1,Primary contribution type,Single-select,145,"User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)",9,6.2
C1,Primary contribution type,Single-select,145,Educational/training resource,7,4.8
C1,Primary contribution type,Single-select,145,"Meta-studies (e.g., scoping review, systematic review, meta-analysis)",4,2.8
C2,Secondary contribution type,Single-select,145,(not answered),93,64.1
C2,Secondary contribution type,Single-select,145,Guidelines/policy paper,13,9
C2,Secondary contribution type,Single-select,145,Educational/training resource,11,7.6
C2,Secondary contribution type,Single-select,145,Technical tool/workflow paper,9,6.2
C2,Secondary contribution type,Single-select,145,Empirical audit/assessment,8,5.5
C2,Secondary contribution type,Single-select,145,"User study (e.g., survey, interview, focus group discussion -- with computational reproducibility as the main topic)",6,4.1
C2,Secondary contribution type,Single-select,145,Replication/reproduction attempt,3,2.1
C2,Secondary contribution type,Single-select,145,Narrative review or commentary,2,1.4
D1,Provides a definition of reproducibility,Single-select,145,Yes,91,62.8
D1,Provides a definition of reproducibility,Single-select,145,No,54,37.2
D2,Discusses contextual variation,Single-select,145,No. The paper treats reproducibility as context-independent or does not address variation.,80,55.2
D2,Discusses contextual variation,Single-select,145,Yes. The paper explicitly notes that reproducibility looks different and is practiced differently depending on context.,65,44.8
D2A,Types of contextual variation,Multi-select,65,Scientific discipline,29,44.6
D2A,Types of contextual variation,Multi-select,65,Data or material license,23,35.4
D2A,Types of contextual variation,Multi-select,65,Data type,18,27.7
D2A,Types of contextual variation,Multi-select,65,Programming language or software,18,27.7
D2A,Types of contextual variation,Multi-select,65,Study design,15,23.1
D2A,Types of contextual variation,Multi-select,65,Computational environment,2,3.1
D2A,Types of contextual variation,Multi-select,65,Journals' policies,2,3.1
D2A,Types of contextual variation,Multi-select,65,Software longevity/time,2,3.1
D2A,Types of contextual variation,Multi-select,65,Computational and infrastructure complexity,1,1.5
D2A,Types of contextual variation,Multi-select,65,Computational vs. non-computational steps in a study,1,1.5
D2A,Types of contextual variation,Multi-select,65,Data quality,1,1.5
D2A,Types of contextual variation,Multi-select,65,Scientific claims,1,1.5
E1,"Describes a workflow, guideline or tool",Single-select,145,"Yes. The paper actively describes, introduces, or recommends at least one concrete workflow, checklist, or tool.",99,68.3
E1,"Describes a workflow, guideline or tool",Single-select,145,No. The paper discusses reproducibility in general but does NOT describe a specific workflow or tool.,46,31.7
E1A,Explicitness of the workflow,Single-select,99,Step-by-step (explicit),61,61.6
E1A,Explicitness of the workflow,Single-select,99,Narrative (implicit),37,37.4
E1A,Explicitness of the workflow,Single-select,99,(not answered),1,1
E1B,Computational environment,Multi-select,99,"Containerization (e.g., Docker, Singularity, CodeOcean, Binder, WholeTale, etc.)",48,48.5
E1B,Computational environment,Multi-select,99,Package/dependency management,33,33.3
E1B,Computational environment,Multi-select,99,Literate programming/dynamic documents,30,30.3
E1B,Computational environment,Multi-select,99,Version control,29,29.3
E1B,Computational environment,Multi-select,99,Not described,28,28.3
E1C,Programming languages,Multi-select,99,R,44,44.4
E1C,Programming languages,Multi-select,99,Not described,40,40.4
E1C,Programming languages,Multi-select,99,Python,27,27.3
E1C,Programming languages,Multi-select,99,Stata,15,15.2
E1C,Programming languages,Multi-select,99,Matlab,7,7.1
E1C,Programming languages,Multi-select,99,Julia,6,6.1
E1C,Programming languages,Multi-select,99,SAS,4,4
E1C,Programming languages,Multi-select,99,Java,2,2
E1C,Programming languages,Multi-select,99,SPSS,2,2
E1C,Programming languages,Multi-select,99,C/C++,1,1
E1C,Programming languages,Multi-select,99,Excel,1,1
E1C,Programming languages,Multi-select,99,Fortran,1,1
E1C,Programming languages,Multi-select,99,GAMS,1,1
E1C,Programming languages,Multi-select,99,Mathematica,1,1
E1C,Programming languages,Multi-select,99,NetLogo,1,1
E1D,Data types,Multi-select,99,Not described,65,65.7
E1D,Data types,Multi-select,99,Proprietary/confidential data,24,24.2
E1D,Data types,Multi-select,99,Survey/experimental,9,9.1
E1D,Data types,Multi-select,99,Administrative/register data,7,7.1
E1D,Data types,Multi-select,99,Digital trace data,5,5.1
E1D,Data types,Multi-select,99,Text/NLP,4,4
E1D,Data types,Multi-select,99,Audio data,1,1
E1D,Data types,Multi-select,99,Trading data,1,1
E1E,Automation of the check,Single-select,99,Partial automation. Some steps are automated and some require human judgment.,34,34.3
E1E,Automation of the check,Single-select,99,Manual only. The workflow is entirely manual.,22,22.2
E1E,Automation of the check,Single-select,99,Not described,22,22.2
E1E,Automation of the check,Single-select,99,Full automation. The entire proposed workflow is automated with no required manual steps.,21,21.2
E1F,LLMs involved in the automation,Single-select,99,No. Automation is present but does not involve LLMs.,47,47.5
E1F,LLMs involved in the automation,Single-select,99,Not applicable. E1e = Manual only or Not described.,43,43.4
E1F,LLMs involved in the automation,Single-select,99,"Yes. The paper explicitly mentions LLMs (e.g., GPT, Claude, Llama) as part of the workflow.",9,9.1
F1,Recommends scoring or badging,Single-select,145,No,121,83.4
F1,Recommends scoring or badging,Single-select,145,Yes,24,16.6
F2,Who should perform the check,Multi-select,145,Third-party/independent reproducers/replicators,72,49.7
F2,Who should perform the check,Multi-select,145,Not described,47,32.4
F2,Who should perform the check,Multi-select,145,Authors (self-check),40,27.6
F2,Who should perform the check,Multi-select,145,Data editors,31,21.4
F2,Who should perform the check,Multi-select,145,Peer reviewers,20,13.8
F2,Who should perform the check,Multi-select,145,AI Agents,5,3.4
F2,Who should perform the check,Multi-select,145,Librarians,3,2.1
F3,When the check should happen,Multi-select,145,Not described,78,53.8
F3,When the check should happen,Multi-select,145,After publication,44,30.3
F3,When the check should happen,Multi-select,145,"After acceptance, before publication",25,17.2
F3,When the check should happen,Multi-select,145,"Before submission, proactively",20,13.8
F3,When the check should happen,Multi-select,145,Parallel to peer review process,3,2.1
F3,When the check should happen,Multi-select,145,All stages of research lifecycle,1,0.7
