"paper_id","coder","b1_rows","b2_rows"
7,"Amelia",3,5
7,"Gunther",0,0
17,"Amelia",3,5
17,"Gunther",0,0
40,"Amelia",3,2
40,"Gunther",0,0
44,"Amelia",3,7
44,"Gunther",0,0
48,"Amelia",3,8
48,"Gunther",0,0
54,"Amelia",3,9
54,"Gunther",0,0
69,"Amelia",3,6
69,"Gunther",0,0
71,"Amelia",3,8
71,"Gunther",0,0
99,"Amelia",3,9
99,"Gunther",0,0
101,"Amelia",3,3
101,"Gunther",0,0
107,"Amelia",3,7
107,"Gunther",0,0
108,"Amelia",3,10
108,"Gunther",0,0
117,"Amelia",6,8
117,"Gunther",0,0
125,"Amelia",3,5
125,"Gunther",0,0
128,"Amelia",12,6
128,"Gunther",0,0
