No.,Authors,Year,Title,Source,DOI,URL,Type,Source/Query,OpenAlex ID,Notes
12,Edo Pellizzari; Kathleen Lohr; Alan Blatecky et al.,2017,Reproducibility: a primer on semantics and implications for research,Book,10.3768/rtipress.2017.bk.0020.1708,https://doi.org/10.3768/rtipress.2017.bk.0020.1708,BOOK,"Q1 (""computational reproducibility"")",https://openalex.org/W2750971703,"Source query: Q1 (""computational reproducibility"")"
33,"Chuah, Jason; Deeds, Madeline; Malik, Tanu et al.",2020,Documenting computing environments for reproducible experiments,Advances in parallel computing,10.3233/apc200106,https://doi.org/10.3233/apc200106,CHAP,"Q1 (""computational reproducibility"")",https://openalex.org/W3023811136,"Source query: Q1 (""computational reproducibility"")"
4,"Oxvig, Christian; Arildsen, Thomas; Larsen, Torben",2016,Storing reproducible results from computational experiments using scientific python packages,Python in Science Conference,10.25080/Majora-629e541a-006,https://doi.curvenote.com/10.25080/Majora-629e541a-006,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W2541490763,"Source query: Q1 (""computational reproducibility"")"
11,"That, Dai Hai Ton; Fils, Gabriel; Yuan, Zhihao et al.",2017,Sciunits: reusable research objects,2017 IEEE 13th International Conference on e-Science,10.1109/escience.2017.51,https://doi.org/10.1109/escience.2017.51,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W2738438370,"Source query: Q1 (""computational reproducibility"")"
21,"Chard, Kyle; Gaffney, Niall; Jones, Matthew B. et al.",2019,Application of BagIt-serialized research object bundles for packaging and Re-execution of computational analyses,2019 15th International Conference on eScience (eScience),10.1109/eScience.2019.00068,https://ieeexplore.ieee.org/document/9041738/,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W3012550223,"Source query: Q1 (""computational reproducibility"")"
64,"Akella, Akhil Pandey; Alhoori, Hamed; Koop, David",2022,Reproducibility signals in science: a preliminary analysis,Proceedings of the first Workshop on Information Extraction from Scientific Publications,10.18653/v1/2022.wiesp-1.16,https://aclanthology.org/2022.wiesp-1.16,CONF,"Q5 (""reproducibility badge"")",https://openalex.org/W4404783460,"Source query: Q5 (""reproducibility badge"")"
94,"Akella, Akhil Pandey; Choudhur, Sagnik Ray; Koop, David",2024,Navigating the landscape of reproducible research: a predictive modeling approach,The 33rd ACM International Conference on Information and Knowledge Management,10.1145/3627673.3679831,https://doi.org/10.1145/3627673.3679831,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W4403577439,"Source query: Q1 (""computational reproducibility"")"
108,"Momeni, Fakhri; Khan, Muhammad Taimoor; Kiesel, Johannes et al.",2025,Checklists for computational reproducibility in social sciences: insights from literature and survey evaluation,ACM REP '25: ACM Conference on Reproducibility and Replicability,10.1145/3736731.3746161,https://dl.acm.org/doi/10.1145/3736731.3746161,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W4415381560,"Source query: Q1 (""computational reproducibility"")"
112,"Hu, Chuxuan; Zhang, Liyun; Lim, Yeji et al.",2025,REPRO-bench: can agentic AI systems assess the reproducibility of social science research?,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.1210,https://aclanthology.org/2025.findings-acl.1210,CONF,"Q1 (""computational reproducibility"")",https://openalex.org/W4412944691,"Source query: Q1 (""computational reproducibility"")"
19,"Thorpe, Brandon",2019,The ReproRubric: evaluation criteria for the reproducibility of computational analyses,OSF Preprints,10.31219/osf.io/thvef,https://doi.org/10.31219/osf.io/thvef,GEN,"Q1 (""computational reproducibility"")",https://openalex.org/W4256346567,"Source query: Q1 (""computational reproducibility"")"
45,"Bahaidarah, Layan; Hung, Ethan; Oliveira, Andreas F. De Melo et al.",2021,Toward reusable science with readable code and reproducibility,arXiv,10.48550/arxiv.2109.10387,https://doi.org/10.48550/arxiv.2109.10387,GEN,"Q1 (""computational reproducibility"")",https://openalex.org/W4311505223,"Source query: Q1 (""computational reproducibility"")"
56,"Niso Taxonomy, Definitions, And Recognition Badging Scheme Working Group",2021,Reproducibility badging and definitions,NISO,10.3789/niso-rp-31-2021,https://www.niso.org/publications/rp-31-2021-badging,GEN,"Q5 (""reproducibility badge"")",https://openalex.org/W3128249766,"Source query: Q5 (""reproducibility badge"")"
91,"Siegel, Zachary S.; Kapoor, Sayash; Nagdir, Nitya et al.",2024,CORE-bench: fostering the credibility of published research through a computational reproducibility agent benchmark,arXiv,10.48550/arxiv.2409.11363,https://doi.org/10.48550/arxiv.2409.11363,GEN,"Q1 (""computational reproducibility"")",https://openalex.org/W4403707291,"Source query: Q1 (""computational reproducibility"")"
100,"Oswald, Christian; Walterskirchen, Julian",2024,"Computational and robustness reproducibility of ""UN peacekeeping and democratization in conflict-affected countries""",SocArXiv,10.31235/osf.io/7k2vz,https://doi.org/10.31235/osf.io/7k2vz,GEN,"Q1 (""computational reproducibility"")",https://openalex.org/W4401429773,"Source query: Q1 (""computational reproducibility"")"
116,"Zhao, Xuanie; Sang, Zillin; Li, Yuxuan et al.",2025,AutoReproduce: automatic AI experiment reproduction with paper lineage,arXiv,10.48550/arxiv.2505.20662,https://doi.org/10.48550/arxiv.2505.20662,GEN,"Q1 (""computational reproducibility"")",https://openalex.org/W4415036172,"Source query: Q1 (""computational reproducibility"")"
3,"Stodden, Victoria",2015,Reproducing statistical results,Annual Review of Statistics and Its Application,10.1146/annurev-statistics-010814-020127,https://www.annualreviews.org/doi/10.1146/annurev-statistics-010814-020127,JOUR,"Q1 (""computational reproducibility"")",https://openalex.org/W2126645252,"Source query: Q1 (""computational reproducibility"")"
